City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,songea,-10.6833,35.65,15.16,51,0,1.71,TZ,1689527291
195,callao,-12.0667,-77.15,24.29,68,100,4.12,PE,1689527224
196,salamanca,40.8333,-6.0,28.88,14,27,5.01,ES,1689527292
197,auki,-8.7676,160.7034,24.82,90,98,1.65,SB,1689527292
198,jiexiu,37.0244,111.9125,23.52,42,6,2.0,CN,1689527292
199,tobelo,1.7284,128.0095,24.77,88,100,1.45,ID,1689527293
200,saipan,15.1355,145.701,27.39,100,40,3.09,MP,1689527293
201,praia,14.9215,-23.5087,29.3,70,75,5.14,CV,1689527293
202,talnakh,69.4865,88.3972,3.49,93,100,1.9,RU,1689527293
203,luderitz,-26.6481,15.1594,18.37,49,0,5.26,NA,1689527293
204,hunchun,42.8675,130.3581,16.61,98,100,0.53,CN,1689527293
205,whitehorse,60.7161,-135.0538,18.39,51,20,6.17,CA,1689527182
206,tommot,58.9564,126.2925,10.08,93,40,0.47,RU,1689527294
207,remire-montjoly,4.9167,-52.2667,27.02,83,40,1.03,GF,1689527294
208,constantia,44.1833,28.65,28.38,60,0,5.21,RO,1689527110
209,puerto francisco de orellana,-0.4667,-76.9667,27.03,83,75,1.03,EC,1689527294
210,veraval,20.9,70.3667,27.89,83,97,5.54,IN,1689527294
211,port lincoln,-34.7333,135.8667,9.38,71,0,2.71,AU,1689527295
212,harrismith,-28.2728,29.1295,8.18,46,0,1.14,ZA,1689527295
213,port alfred,-33.5906,26.891,17.02,58,21,3.18,ZA,1689527295
214,suva,-18.1416,178.4415,19.71,94,40,1.03,FJ,1689527295
215,santa ana,33.7456,-117.8678,32.2,70,20,3.6,US,1689527295
216,boca suno,-0.7167,-77.1333,26.77,62,88,0.61,EC,1689527296
217,luorong,24.4058,109.6086,28.45,59,41,4.53,CN,1689527296
218,eagle river,45.9172,-89.2443,21.91,43,66,1.34,US,1689527212
219,sao joao da barra,-21.6403,-41.0511,28.05,65,19,6.1,BR,1689527296
220,whakatane,-37.9585,176.9854,11.54,83,33,1.79,NZ,1689527296
221,selfoss,63.9331,-20.9971,13.91,50,100,2.47,IS,1689527296
222,camana,-16.6228,-72.7111,18.81,77,30,2.9,PE,1689527297
223,east london,-33.0153,27.9116,18.27,61,27,1.86,ZA,1689527263
224,usinsk,65.9939,57.5281,21.44,50,76,3.08,RU,1689527297
225,nova sintra,14.8667,-24.7167,22.94,83,100,3.65,CV,1689527297
226,zayed city,24.3768,54.589,37.08,47,0,3.6,AE,1689527297
227,pokhvistnevo,53.6524,52.1274,17.0,87,100,3.88,RU,1689527298
228,wismar,53.9,11.4667,24.58,47,21,3.13,DE,1689527298
229,prince rupert,54.3161,-130.3201,14.83,97,100,1.54,CA,1689527109
230,kinablangan,7.6947,126.5503,25.58,86,100,0.55,PH,1689527298
231,magong,23.5654,119.5863,28.48,79,100,6.76,TW,1689527298
232,antsiranana,-12.2787,49.2917,23.42,79,8,5.14,MG,1689527298
233,kas,36.2018,29.6377,31.07,49,0,2.01,TR,1689527298
234,xinzhi,36.4989,111.7047,26.21,48,4,2.69,CN,1689527299
235,kerikeri,-35.2268,173.9474,11.06,89,45,0.45,NZ,1689527299
236,salalah,17.0151,54.0924,27.05,89,100,4.12,OM,1689527299
237,ongjin,37.9347,125.3619,22.22,90,100,0.91,KP,1689527299
238,thai nguyen,21.5928,105.8442,30.88,72,95,2.2,VN,1689527299
239,kenai,60.5544,-151.2583,12.3,98,100,3.09,US,1689527299
240,chernyshevskiy,63.0128,112.4714,6.75,73,75,1.56,RU,1689527300
241,pedernales,18.0384,-71.744,31.93,59,100,1.59,DO,1689527300
242,tutoia,-2.7619,-42.2744,29.29,64,17,5.23,BR,1689527300
243,chonchi,-42.6128,-73.8092,5.56,65,4,1.93,CL,1689527300
244,beaufort west,-32.3567,22.583,15.36,45,70,0.51,ZA,1689527300
245,hawaiian paradise park,19.5933,-154.9731,23.35,83,100,1.54,US,1689527300
246,san julian,21.0167,-102.1667,22.68,46,12,3.62,MX,1689527301
247,colonia,50.9333,6.95,25.59,37,0,4.63,DE,1689527301
248,gurupi,-11.7292,-49.0686,35.96,19,19,2.73,BR,1689527301
249,jinchang,38.4953,102.1739,25.6,26,64,1.8,CN,1689527301
250,new yekepa,7.5794,-8.5378,23.64,93,93,0.59,LR,1689527302
251,cutral-co,-38.9469,-69.2089,6.62,10,6,0.89,AR,1689527302
252,vila franca do campo,37.7167,-25.4333,22.23,67,47,1.46,PT,1689527302
253,quellon,-43.1167,-73.6167,7.14,76,75,2.57,CL,1689527302
254,pirallahi,40.4723,50.333,25.08,77,3,9.88,AZ,1689527302
255,yass,-34.8333,148.9167,4.35,93,0,1.84,AU,1689527302
256,izmir,38.4622,27.0923,34.73,27,0,8.75,TR,1689527140
257,kafue,-15.7691,28.1814,14.83,51,0,1.76,ZM,1689527303
258,zhongshu,24.5167,103.7667,16.07,85,15,2.39,CN,1689527303
259,quang ngai,15.1167,108.8,25.14,90,100,2.1,VN,1689527214
260,kani keli,-12.9536,45.1033,24.59,74,0,3.38,YT,1689527303
261,al bawiti,28.3492,28.8659,35.45,12,0,4.27,EG,1689527303
262,pisco,-13.7,-76.2167,21.03,68,100,2.57,PE,1689527304
263,zahedan,29.4963,60.8629,32.95,10,0,2.06,IR,1689527304
264,troitskoye,52.9821,84.6757,15.14,98,96,0.83,RU,1689527304
265,la'ie,21.6477,-157.9253,24.14,85,12,1.79,US,1689527304
266,utrik,11.2278,169.8474,27.9,80,98,7.2,MH,1689527304
267,newman,37.3138,-121.0208,36.7,17,94,1.5,US,1689527305
268,aykhal,66.0,111.5,8.68,64,96,3.93,RU,1689527305
269,bien hoa,10.95,106.8167,25.99,89,100,4.45,VN,1689527305
270,port augusta,-32.5,137.7667,6.78,53,0,1.95,AU,1689527305
271,villa gesell,-37.2639,-56.973,10.59,66,77,8.53,AR,1689527305
272,cove,7.221,2.3402,27.57,80,87,1.97,BJ,1689527306
273,puerto tirol,-27.3722,-59.0821,20.03,46,15,2.86,AR,1689527306
274,la passe,45.5549,-0.8967,23.9,55,3,5.25,FR,1689527306
275,kyshtovka,56.555,76.6271,14.45,88,16,3.28,RU,1689527306
276,santa cruz,-17.8,-63.1667,21.7,56,75,6.17,BO,1689527128
277,annau,37.8876,58.516,34.94,29,19,1.71,TM,1689527306
278,hirara,24.8,125.2833,27.76,82,51,3.78,JP,1689527307
279,sampacho,-33.3839,-64.7221,10.85,31,89,2.81,AR,1689527307
280,ujae,8.9322,165.7642,28.53,73,99,7.23,MH,1689527307
281,safipur,26.7333,80.35,32.33,62,100,3.58,IN,1689527307
